# GALON_TRUE   GALAT_TRUE    PAR_TRUE     PML_TRUE     PMB_TRUE     VRAD_TRUE     SIG_ALPHA    SIG_DELTA    SIGPAR_EQ    SIG_PMALPHA   SIG_PMDELTA   ALPHA          DELTA           LAMBDA         BETA            Lz_TRUE     E_HMV_TRUE   E_HdZ_TRUE
  2.048019     -0.8949103    38.497017    1274.1385    -623.03125   -383.54916    19.728891    14.508457    22.687138    13.964663     10.397366     0.16223654     0.19970748      0.22773226     0.11932119      1913.6375   -50674.723   -54562.254  
  1.5121459    -1.0684747    12.140726    82.136444    -507.40952   -162.56482    64.31735     46.56017     73.05612     45.511517     33.417057     6.218201       -0.0543112      6.2019877      -0.02401443     2034.8691   -44663.25    -62181.61   
  1.7903209    -1.0267828    20.663391    433.71033    -688.35767   -291.449      37.342194    27.0325      42.41586     26.42366      19.401705     0.043270804    0.041728336     0.056289237    0.021083662     1978.8062   -49021.402   -61627.527  
  1.6575794    -1.0510112    14.178303    201.42892    -541.7544    -218.7544     54.90599     39.74716     62.366043    38.851955     28.527243     6.27259        -0.0053057373   6.2713537      -6.534353E-4    2122.263    -45736.586   -61210.875  
  1.7421992    -1.0526986    17.68689     326.71783    -652.4689    -258.0752     43.840004    31.736351    49.796524    31.021568     22.77774      0.02880035     0.009233302     0.030096447    -0.002982784    2001.0309   -48393.94    -63108.688  
  1.7279139    -1.039353     18.471775    332.33792    -654.48553   -264.0664     42.026714    30.423687    47.736866    29.738468     21.835619     0.01736842     0.01916608      0.023558369    0.010676516     1978.0303   -49489.17    -63461.39   
  1.6680604    -1.0276413    15.439878    223.34451    -573.72064   -238.75366    50.51799     36.570633    57.381847    35.74697      26.24739      6.2677712      0.018170599     6.276272       0.022802321     2086.5166   -47215.973   -61172.434  
  1.5266162    -1.028195     13.071138    103.93393    -522.7704    -196.38351    60.137455    43.534286    68.308304    42.553787     31.24533      6.2033267      -0.016185543    6.20347        0.016879592     2228.563    -45722.79    -60601.695  
  2.0986855    -0.9051864    33.916553    1260.3802    -576.7442    -360.7071     22.830847    16.624645    26.021183    16.15108      11.913914     0.19495662     0.19151749      0.2541678      0.09915399      2175.229    -50437.65    -54769.758  
  1.5297469    -1.0531472    12.594599    103.01784    -525.9239    -178.97005    62.676765    45.372528    71.192635    44.350624     32.564667     6.217549       -0.0367523      6.208361       -0.0076397154   2207.7002   -45109.75    -61526.215  
  1.5841044    -1.0692993    13.6660185   148.83388    -561.39575   -207.58798    57.689373    41.76209     65.5276      40.821503     29.97339      6.2486         -0.037677776    6.2364717      -0.020817202    2148.4873   -45247.742   -62363.6    
